model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,roc_auc,roc_auc_std
Random Forest,0.848802534712515,0.03414676950608559,0.8489217976235114,0.04621856411171218,0.8892803372478169,0.047735431004131655,0.8668864581235161,0.02782991003257069,0.9260880292045603,0.025101468377161585
Logistic Regression,0.8474326716988166,0.029894453595699214,0.8615947200737807,0.04568721368237344,0.8670581150255947,0.022169035187060527,0.8633266489459412,0.022620335961853966,0.9219880410666319,0.033717794467459906
Gradient Boosting,0.8583449818283476,0.022340681840959435,0.875589815248043,0.03552823014269318,0.8694971394158385,0.02518480788967601,0.8718002510310203,0.018167203623779715,0.9191735575475413,0.02662265256531945
SVM,0.8583356630323362,0.04083012792978865,0.8511902142943164,0.05181234035869457,0.9065040650406504,0.024877202497645527,0.8770090100858186,0.031420790986550665,0.9166157439870176,0.0325663286611631
KNN,0.8474326716988166,0.03340371272746821,0.8465978137840938,0.04029508459107076,0.8866907557964469,0.012163519783680805,0.8658780690706083,0.02649071684134671,0.9000123253239783,0.02754420207967698
Decision Tree,0.7874196253844004,0.0561968801680301,0.8116519646286898,0.05953875370780703,0.805420054200542,0.07298633647889574,0.8067678132588251,0.052290142786862455,0.7852741296643735,0.056292073221104605
